report,part failure
"FWD SKIN OF TAILCONE, RIGHT ENGINE BAY INBD FWD CORNER AT ATTACH ANGLE FS 4800 RBL80 FOUND 1.5"" CRACK DURING 1000HR INSPECTION. CRACK RUNS FROM THE FWD EDGE OF THE TAILCONE SKIN THROUGH TWO RIVETS THAT ATTACH THE SKIN TO THE BULKHEAD ANGLE.",ZONE 200 CRACKED
"DURING INSPECTION, FOUND FRAME 1 CORRODED ON LH AND RH SIDES UNDER TAIL ROTOR CONTROL PEDALS.",ZONE 100 CORRODED
"PILOTS SIDE (RIGHT SIDE) COCKPIT FLOOR SKIN AT APPROX F.S. 1700 DURING 1000 HOUR INSPECTION, HEAVY CORROSION WAS FOUND ON THE TOP AND BOTTOM SKIN OF THE COCKPIT FLOOR AT THE GROUND SHEET.",COCKPIT CORRODED
"DURING 1000 HOUR INSPECTION, FOUND LH AND RH KEEL BEAM STRAPS (LH PN: L533M1009203 AND RH PN: L533M1010203) CORRODED NEAR THE FORWARD END OF THE CABIN FLOOR.",ZONE 100 CORRODED
"DURING 1000 HOUR INSPECTION, THE FWD LOWER SIDE OF THE FRAME 3 BULKHEAD AT APPROX F.S. 3150 W.L. 1480 WAS FOUND TO HAVE CORROSION AT THE BOTTOM EDGE OF THE WEB.",3150 CORRODED
"DURING 1000 HOUR INSPECTION, FOUND 3 ANGLES THAT ATTACH CONTROL POST TO FLOOR CORRODED. AFTER REMOVING THE ANGLES, FOUND THAT THE FLOOR UNDER THE ANGLES WAS ALSO CORRODED.",ZONE 100 CORRODED
DURING A 1000 HOUR INSPECTION FOUND THE RIGHT SIDE OF THE 5 ALPHA FRAME CRACKED.  INSTALLING A DOUBLER P/N L533M1105103 OVER THE EXISTING 5 ALPHA FRAME AS PER THE SRM,ZONE 200 CRACKED
"DURING A 1000 HOUR INSPECTION FOUND THE LEFT HAND KEEL BEAM TOP EXTRUSION AT F.S. 5700, LBL 500 EXFOLIATED AT THE END.",ZONE 100 CORRODED
DURING A 1000 HOUR INSPECTION FOUND THE LEFT SIDE OF COCKPIT FLOOR BEHIND THE PILOT'S SEAT JUST FORWARD OF F.S. 3150 AND INBOARD OF L.B.L 500 SEVERAL MEDIUM SIZED DENTS AND DELAMINATE UPPER SKIN.,COCKPIT DAMAGED
DURING 1000 HOUR INSPECTION FOUND THE PILOT'S SIDE COCKPIT FLOOR GROUND BRACKET AND UPPER AND LOWER SKIN CORRODED AT F.S. 1700,COCKPIT CORRODED
DURING 1000 HR INSPECTION FOUND VERTICAL STAB TOP RIB HAS EXFOLIATION CORROSION BEHIND SEVERAL NUTPLATES.,TAILBOOM CORRODED
"DURING 1000 HR INSPECTION, FOUND CORROSION AROUND AND UNDER DATA TAG. PREVIOUSLY REPAIRED ON FAA FORM 337 DATED 16 SEPTEMBER 2013.",FUSELAGE CORRODED
"DURING 1000 HR INSPECTION, FOUND CORROSION AROUND PREVIOUS REPAIRS ON L/H AND R/H MAINTENANCE STEPS. PREVIOUSLY REPAIRED ON FAA FORM 337 DATED 16 SEPTEMBER 2013.",FUSELAGE CORRODED
"DURING 1000 HOUR INSPECTION, FOUND R/H KEEL BEAM UPPER ANGLE CORRODED UNDER NUTPLATE AT FWD END OF CABIN FLOOR.",ZONE 100 CORRODED
"DURING 1000 HOUR INSPECTION, FOUND CORROSION AT FS 3150 HAT CHANNELS & AROUND PREVIOUS REPAIR PATCH. PREVIOUSLY REPAIRED.",ZONE 100 CORRODED
"DURING 1000 HOUR INSPECTION, AFTER REMOVING THE MAIN GEARBOX FOR USE ON ANOTHER AIRCRAFT, MULTIPLE CRACKS WERE FOUND IN THE AREA OF FS 4505 - FS 4565. L/H AND R/H ""A PROFILES FOUND CRACKED. STIFFENER OUTSIDE OF L/H ""A PROFILE CRACKED. LONGERON 18CM TO LEFT OF CENTERLINE CRACKED. LONGERON 18CM TO RIGHT OF CENTERLINE CRACKED. TRANSMISSION DECK TOPSIDE DOUBLER CRACKED ON L/H AND R/H SIDE. TRANSMISSION DECK SKIN CRACKED ON L/H AND R/H SIDE.",ZONE 200 CRACKED
"DURING A 1000 HOUR AIR FRAME INSPECTION, FOUND FRAME #5 FWD ANGLE LEFT SIDE AT FS 4700MM WITH TWO CRACKS ONE AT THE TOP LOCATION AND ONE LOWER LOCATION OF THE METRO MED WALL ATTACH POINTS.  BOTH CRACKS ARE 3/4 OF AN INCH LONG.",ZONE 200 CRACKED
"DURING 1000 HOUR AIR FRAME INSPECTION, FOUND THE COLLECTIVE SHAFT UNDER THE COCKPIT FLOOR CORRODED BEYOND LIMITS.",COLLECTIVE CORRODED
DURING 1000 HOUR AIR FRAME INSPECTION FOUND FRAME 1 CORRODED IN MULTIPLE PLACES,FUSELAGE CORRODED
"DURING A 1000 HOUR AIR FRAME INSPECTION FOUND THE PILOT'S SIDE OF THE COCKPIT FLOOR GROUND BRACKET CORRODED AT F.S. 1700 WHEN THE GROUND BRACKET WAS REMOVED, FOUND THE FLOOR CORRODED IN THE UPPER AND LOWER SKINS IN MULTIPLE SPOTS.",COCKPIT FLOOR CORRODED
"DURING A 1000 HOUR AIR FRAME INSPECTION FOUND CORROSION AT THE LH KEEL BEAM JUST FWD OF F.S. 3150 MM, LBL 500.  CLEANED CORROSION AND REMOVED 0.17 MATERIAL.  AWAITING A REPAIR SCHEME FROM AIRBUS.",BS 3150 CORRODED
DURING 1000 HOUR AIR FRAME INSPECTION FOUND CABIN FLOOR DENTED AND DELAMINATED IN SEVERAL SPOTS,COCKPIT DENTED
DURING 1000 HOUR AIR FRAME INSPECTION FOUND A CHAFE IN THE FENESTRON TOP RIB,ZONE 200 CHAFED
"DURING INSPECTION FOUND DAMAGE TO THE AFT BOX BEAM UPPER FRAME INSIDE SKIN (PN: B533K3606-205) IN THE FORM OF CHAFING MEASURING APPROXIMATELY 0.80? LONG AND 0.020? DEPTH IN TWO LOCATIONS.  ADDITIONAL DAMAGE WAS ALSO NOTED TO THE AFT BOX BEAM LH FRAME INSIDE SKIN (PN:  B533K5606-211) IN THE FORM OF A CHAFE AND DENT MEASURING APPROXIMATELY 1.0? X 0.75? AND DENT MEASURING 0.040? DEPTH.  THE DAMAGE WAS ADDRESSED BY BLENDING AND REINFORCEMENT OF THE AFFECTED STRUCTURE VIA REPAIR DOUBLERS IN ACCORDANCE WITH AIRBUS RDAS # RDAS-BK117-53-2021-3080, REVISION A DATED 16 JUL 2021.",ZONE 200 CHAFED
"DURING INSPECTION, FOUND DAMAGE TO THE VERTICAL FIN MAIN SPAR (PN: 117-30423.03) IN THE FORM OF CHAFING MEASURING APPROXIMATELY 0.25? DIAMETER AND 0.020? DEPTH ON THE OUTSIDE SURFACE OF THE LH FLANGE AT THE LOWER SECTION OF THE MAIN SPAR.  THE DAMAGE WAS ADDRESSED BY BLENDING AND REINFORCEMENT OF THE AFFECTED STRUCTURE VIA REPAIR DOUBLERS IN ACCORDANCE WITH AIRBUS RDAS # RDAS-BK117-53-2021-3025, REVISION A DATED 08 JUL 2021.",ZONE 300 CHAFED
"DURING 1000 HOUR INSPECTION, FOUND ONE CRACK ABOUT 1 INCH LONG IN THE LH FRAME 5 WEB AT THE MED WALL LOWER ATTACHMENT POINT, AND ONE CRACK ABOUT 1/2 INCH LONG IN THE RH FRAME 5 WEB AT THE MED WALL LOWER ATTACHMENT POINT.",FRM 5 CRACKED
"DURING A MAINTENANCE EVENT, THE FUEL FILLER NECK WAS FOUND TO HAVE SIGNIFICANT CHAFFING DAMAGE RESULTING FROM CONTACT WITH THE LEFT CARGO COMPARTMENT CLOSEOUT PANELS.",ZONE 100 CHAFED
DURING INSPECTION FOUND A CRACK IN THE TAIL CONE UPPER FRAME 7 ON THE FLANGE.  REPAIRED FRAME 7 IAW AIRBUS HELICOPTERS RDAS-EC135-53-2021-3502,ZONE 100 CRACKED
DURING INSPECTION FOUND THE ENGINE BRACKET CHAFED.  PERFORMED A REPAIR IAW AIRBUS HELICOPTERS RDAS-EC135-71-2021-3462A*NOT FOUND IN AIRFLEETS,ZONE 200 CHAFED
DURING INSPECTION FOUND COCKPIT FLOOR DELAMINATED ON THE UPPER SKIN PANEL 15.0X1.75 T THE FWD GROUNDING POINT.  REPAIRED IAW AIRBUS HELICOPTERS RADS-EC135-53-2021-3525,ZONE 100 DELAMINATED
FRAME 5 CRACK FOUND ON L/H FWD LOWER SIDE OF METRO BOX BEAM ASSY. CRACK LENGTH IS .75 INCHES,ZONE 100 CRACKED
"FUSELAGE - COCKPIT FLOOR - OUTER SKIN DELAMINATION AND CORROSION DAMAGE -  DAMAGE TO THE COCKPIT FLOOR (PN: L533M1013107) IN THE FORM OF AN AREA OF DELAMINATION ON THE UPPER SKIN PANEL MEASURED TO BE APPROXIMATELY 3.0? X 1.25?, AS WELL AS AN AREA OF CORROSION ON THE UPPER SKIN PANEL AT THE FWD GROUNDING POINT MEASURING APPROXIMATELY 1.0? X 1.0?.",ZONE 100 CORRODED
"FUSELAGE - LOWER SECTION - RH KEEL BEAM CAP CORROSION -  DAMAGE TO THE RH KEEL BEAM CAP (PN: L533M1010203) IN THE FORM OF CORROSION ON THE LOWER SURFACE OF THE HORIZONTAL FLANGE. THE DAMAGE IS LOCATED AS APPROXIMATELY X2200, AND WAS MEASURED TO BE APPROXIMATELY 0.75? X 0.25? AND 0.024? DEEP AT THE DEEPEST POINT",ZONE 100 CORRODED
"DURING A 600 HOUR INSPECTION OF THE CRASH RESISTANT FUEL TANK, FOUND A STAND OFF INSIDE THE TOP OF THE TANK DE-BONDED, CAUSING THE INTERNAL FUEL HOSE TO DROOP DOWN IN THE TANK.  THE FUEL TANK WILL NEED REPLACED.",ZONE 100 NONE
DURING A 600 HOUR INSPECTION FOUND THE FUEL LINE FROM THE FUEL TANK CHAFFED INTO THE LEFT HAND LATERAL BULKHEAD (X FRAME) ON THE INBOARD FACE .016 DEEP.  AWAITING A REPAIR.,ZONE 100 CHAFED
DAMAGE TO FRAME 1 (PN: L533M1011212) IN THE FORM OF EXTENSIVE CORROSION ACROSS THE LOWER FLANGE,ZONE 100 CORRODED
SIGNIFICANT CORROSION WAS DISCOVERED ON THE FUSELAGE LH SKIN (P/N: L533M1007237) ADJACENT TO THE AFT LOWER MAINTENANCE STEP (APPROX. STA 47095290 AND WL 1600-1800),ZONE 100 CORRODED
DURING 1000 HOUR AIRFRAME INSPECTION FOUND CORROSION AT THE TAIL BOOM AFT RING FRAME REINFORCEMENT  WHERE SERVICE BULLETIN SB EC135-53-030 WAS PERFORMED.   THE CORROSION HAS MITIGATED UNDER THE REINFORCEMENT P/N L535H2100202.  REPLACING THE TAIL BOOM.,TAIL BOOM CORRODED
"DURING 1000 HOUR AIRFRAME INSPECTION, FOUND MULTIPLE ISSUES WITH THE MAIN CABIN FLOOR AS FOLLOWS.  RIGHT INBOARD IMBEDDED SEAT TRACK @ F.S. 5730MM, RBL 120MM CORROSION WAS FOUND IN THE WEB AREA AT THE VERY END OF THE TRACK.  IN THE SAME AREA ON THE UNDERSIDE OF THE FLOOR, FOUND CORROSION ON THE BOTTOM SKIN  2.5 X 4 INCH AREA.  ALSO FOUND NUMEROUS DENTS ON THE TOPSIDE OF THE CABIN FLOOR SKIN IN A 10 X 5 INCH AREA.  AWAITING ENGINEERING SUPPORT TO LET US KNOW OF REPAIR OR REPLACEMENT OF THE FLOOR.",ZONE 100 CORRODED
"CRACK DAMAGE WAS NOTED TO THE LEFT SIDE AFT BOX BEAM INNER SKIN PANEL (PN: B533K5606-212) MEASURED TO BE APPROXIMATELY 0.625? LONG. THE DAMAGE WAS REPAIRED VIA A REPAIR DOUBLER IN ACCORDANCE WITH AIRBUS RDAS-BK117-53-2021-4226, REVISION B DATED 02 DEC 2021.",ZONE 100 CRACKED
"LEFT MAIN WHEEL DEPARTED THE AIRCRAFT IN FLIGHT.  AIRCRAFT LANDED DAMAGING THE LEFT BRAKE, DRAG LINK. DOOR WAS DAMAGED AS IT NO LONGER CLEARED THE GROUND IN THE OPEN POSITION.",LT MLG MISSING
AFTER LOADING OUR PASSENGERS AND TAXIING OUT TO RUNWAY 27R WE LIFTED OFF AT 21:29Z.  APPROXIMATELY 2 MINUTES AFTER TAKEOFF WHILE WE WERE CLIMBING AT ABOUT 3900 FEET THE #2 ENGINE CHECKLIST AND UPON PULLING THE #2 FUEL SHUTOFF HANDLE THE FIRE ZONE 1R LIGHT WENT OUT.  WE CONTACTED ATC FOR A RETURN TO KOPF WHILE WE WERE COMPLETING PHASE 2 OF THE ENGINE FIRE CHECKLIST. THE WEATHER WAS VMC AND ATC GAVE US RADAR VECTORS FOR A RETURN LANDING ON RUNWAY 27R AT KOPF. AFTER RECEIVING CLEARANCE FROM KOPF TOWER TO LAND WE LANDED AND TAXIED OFF THE RUNWAY AT ABOUT 23:43Z. MAINTENANCE ARRIVED AND INSPECTED THE RIGHT-HAND ENGINE AND PYLON AREA. INSPECTION OF THE RIGHT-HAND PYLON REVEALED A BLEED AIR CLAMP HAD FAILED (BROKEN AT,RT BLEED SYS BROKEN
WHILE TAXING THE RT HYD SYSTEM DROPS 1% EVERY 9 MINUTES. AT 53% WHEN RETURNING TO THE FIELD. REMOVED AND RPLACE THE LEFT ANTI SKID MODULE PER AMM 33-42-02. OPS CHECK TEST OKAY. A/C RETURNED TO SERVICE.,ANTI-SKID LEAKING
"RIGHT HYDRAULIC SYSTEM INDICATES (RF) ON STATUS PAGE FLUID DROPPING IN QUANTITY  (RIGHT HYD"" EICAS MSG DISPLAYED. THE CORRETIVE ACTION WAS THE MECHANIC FIM 29-11 F/T 830 AND CHECKED A/C FOR LEAKS. NO LEAKS FOUND, TRANSFERED FLUID TO R/H SYSTEM AND CLEANED SHUTTLE VALVE AND EXERCISED VIGOROSLY PER FIM BLOCK 20 SYSTEM. NOW NORMAL, AS A PERCAUTION CLEANED CONNECTORS ON THE TRANSMITTER.",RIGHT FALSE INDICATION
"AT FL39,000 DURING CRUISE, LEFT THRUST LEVER WAS NOT RESPONDING AND EPR WAS STUCK AT 1.00.  HAD TO DECENT TO FL36000 TO MAINTAIN AIRSPEED.  EGT WAS BEING ERRATIC PRIOR TO THAT + OR MINUS 30 DEGREES.  WE WILL FILE A SUPPLEMENTAL REPORT WHEN MORE INFORMATION IS AVAILABLE.",LEFT STUCK
"RIGHT GEN DRIVE EICAS MESSAGE AFTER TAKE-OFF, DRIVE DISC LIGHT CAME ON.  CREW CALLED DISPATCH REPORTING RT IDG DRIVE/GEN.  OFF EICAS MESSAGE, CREW FOLLOWED FCOM AND DECIDED TO RETURN FIELD (JFK).  MOC CALLED JFK MX AND THEY WILL MEET THE AIRCRAFT UPON LANDING.  INSPECTED AND SERVICED RT IDG, IDLE CHECK GOOD.  APU PNEUMATIC PRESSURE AT 10 PSI, OPENED DMI.  T/S PER FIM 24-20 FT 815 FOUND IDG OIL LEVEL LOW, SERVICED IDG OIL, PER AMM 12-13-03.  RECONNECTED IDG DRIVE, PER AMM 24-11-01.  PERFORMED ENGINE RUNS, PER 71-00-00.  OPERATIONS CHECK SATISFACTORY.  WE WILL FILE A SUPPLEMENTAL REPORT WHEN MORE INFORMATION IS AVAILABLE.",RIGHT UNDERSERVICED
DURING WALK AROUND IT WAS NOTED THE LEFT ENGINE OUTBOARD NACELLE STRUT DOOR WAS MISSING.  THE FME DURING THE WALK AROUND NOTED THE MISSING DOOR IN THE LOG PAGE (LEFT ENGINE NACELLE DOOR MISSING).  THIS WAS PLACED ON CDL ISSUED AND ISSUED AN MRN.  MAINTENANCE MECHANIC RE-SECURED THE SENSOR TARGET BRAKE WITH NEW RIVETS.  A/C WAS RETURN TO SERVICE.,LT NACELLE MISSING
"LIGHTS SYSTEM - EXTERNAL LIGHTS (04 EA) LAMPS FAIL TO ILLUMINATE. REMOVED AND REPLACED (04 EA) EMERGENCY EXTERIOR LIGHT LAMPS IAW  B767 AMM 33-51-06 PG 201 OPS, CHECK, 600D IAW B767 AMM 33-51-06 PG 202 VERIFIED SATISFACTORY.",EXTERIOR LIGHTS FAILED
LIGHT SYTEMS-03 EA BATTERY PACK FAILED TO SUPPLY ENOUGHT ENERGY. MX REMOVED AND REPLACE 03 EA BATTERY PACK ON EMERGENCY LIGHT SYSTEMS IAW B767 AMM 33-57-07 PAGE 204. PERFORMED OPS CHECK GOOD IAW B767 AMM 33-57-07 PAGE 207.,EMERGENCY LIGHTS FAILED
"DURING MTX CHECK IT WAS FOUND THE L3 EMERGENCY LIGHT INOPERABLE, (EXTERIOR).  MTX MECHANIC REPLACED THE L3 BATTERY PACK.",L3 EMER LIGHT DEPLETED
"DURING MTX CHECK IT WAS FOUND THE L4 EMERGENCY LIGHT INOPERABLE, (EXTERIOR) AND THE LIGHTS WERE LEFT ON.  MTX MECHANIC DISCOVERED THE L4 BATTERY NEEDED TO BE CHARGED.  A/C LIGHTS WERE RECHARGED AND ARE NOW OPERATIONAL.",L4 EMER LIGHT DEPLETED
"DURING MTX CHECK IT WAS FOUND THE R1 EMERGENCY LIGHT INOPERABLE (EXTERIOR).  MTX MECHANIC RELAMPED, RECHARGED BATTERY THE L3 BATTERY PACK, CLEANED CONNECTORS AND SOCKET LIGHT BULB.  OPERATIONS CHECK NORMAL, IAW AMM 33-51-00, AMM 20-60-01, 20-60-04.",R1 EMER LIGHT INOPERATIVE
DURING MAINTENANCE ROUTINE IT WAS FOUND THE L4 EMERGENCY EXTERIOR LIGHT IS INOP.  BULB WAS REPLACED.,EXTERIOR LIGHT INOPERATIVE
L2 EMERGENCY EXIT LIGHTS UPPER LWR INOP.  MAINTENANCE REMOVED AND REPLACE M738 BATTERY PACK IAW AMM 33-51-07 OPS CHECK NORMAL LP 35195.,EMERGENCY LIGHTS INOPERATIVE
R2 EMERGENCY EXIT LIGHTS UPPER LWR INOP.  MAINTENANCE REMOVED AND REPLACE M738 BATTERY PACK AS IT WAS BAD.  IAW AMM 33-51-07 OPS CHECK NORMAL LP 35195.,EMERGENCY LIGHT INOPERATIVE
"EMERGENCY LIGHT SWITCH  STICKING OPEN AND DRAINING THE BATTERY PACKS. REMOVED AND REPLACED EMERGENCY LT SW, OPS CHECK NORMAL,  AIRCRAFT RETURN TO SERVICES.",EMERGENCY LIGHTS STUCK
"DURING A ROUTINE MAINTENANCE THE MECHANIC FOUND L1,L3 AND L4 EXTERIOR EMERGENCY LIGHT INOP. MAINTENANCE REMOVED AND REPLACED M738 BATTERY PACKS. OPS CHECK IS NORMAL AND IAW AMM 33-15-66.",EXTERIOR LIGHTS INOPERATIVE
"UPON PREFLIGHT WALK-AROUND MAINTENANCE FOUND  R/H ENGINE PYLON INBOARD NACELLE STRUT ACCESS DOOR MISSING. MAINTENANCE TRANSFERRED TO DMI 36N-21-0002, CDL 54-53-02. EXP 07/15/21 PLACARD INSTALLED PER GMM-002 UPDATED.",RT NACELLE MISSING
DURING MAINTENANCE CHECKS THE MECHANIC FOUND L1 AND R1 EXIT EMERGENCY INTERIOR LIGHTS INOP. MAINTENANCE REPLACED BATTERY PACK ON L1 & R1 ON INTERIOR LIGHTS. OPS CHECK FOUND TO BE IAW AMM 33-51-07.,EXTERIOR LIGHTS INOPERATIVE
"DURING MAINTENANCE CHECKS THE MECHANIC FOUND L5 AND R3 EXIT EMERGENCY INTERIOR LIGHTS INOP. AIRPLANE CHARGED EMERGENCY BATTERY L3 AND R3 EXIT INTERIOR LIGHT, OPS CHECK IAW AMM 33-51-00 TO BE NORMAL.",EXTERIOR LIGHTS INOPERATIVE
38 L CEILING EMERGENCY LIGHT INOP. REPAIR TO TERMINALS. CRIMP WIRES TO ASSY 38 L CEILING EMERGENCY LT IAW SWPM 20-10-13. OPS CHECK NORMAL IAW AMM 33-51-00.,EMERGENCY LIGHT DAMAGED
DURING MX INSPECTION IT WAS THE SIDE WALL LIGHT AT ROW 36JK INOP. THE LIGHT WAS  REMOVED AND RELAMPED AT ROW 36JKAS PER AMM 33-21-00. OPS CHECK GOOD.,EMERGENCY LIGHT INOPERATIVE
"DURING SERVICE CHECK THE MECHANIC FOUND FWD GALLEY EMERGENCEY EXIT LIGHTS INOP. THE MECHANIC T/S PER 33-51-11 AND PERFORMED POWER SUPPLY TASK AMM 33-51-07-712-032. TEST WAS UNSATISFACTORY. NEW POWER SUPPLY WAS REQUIRED. MECHANIC R&R  POWER SUPPLY UNIT I.A.W. AMM 33-51-07, OPS CHECK SATISFACTORY.",EMERGENCY LIGHTS INOPERATIVE
THE R2 AND R4 EMERGENCY LIGHT WILL NOT ILLUMINATE. MAINTENANCE MECHANIC REMOVED AND RPLACED THE POWER SUPPLY BATTERY PACK M733 PER AMM 33-51-21. ALSO RELIGHTED THE R4 EMERGENCY LIGHT LAMP SOCKET. OPS CHECK GOOD.,EMERGENCY LIGHTS INOPERATIVE
THE R4 EMERGENCY LIGHT WILL NOT ILLUMINATE. MAINTENANCE MECHANIC REMOVED AND RPLACED R4  SIDE EMERGENCY LIGHT THAT WAS FOUND LOOSE IN ADDITION TO M733 POWER BATTERY PACK PER AMM 33-51-21. OPS CHECK GOOD.,CABIN INOPERATIVE
"POST FLIGHT WALK AROUND FOUND #7 TIRE DEFLATED.  WHEEL BEARING FAILURE NOTED, BREAK DAMAGE NOTED. EAL IS INVESTIGATING TO DETERMINE ROOT CAUSE CURRENTLY.",WHEEL FAILED
"PASSENGERS COMPARTMENT & PASSAGEWAY, EXIT SIGN AND RH SIDE DOOR EMERGENCLY LIGHTS TURN OF IN 10 SECONDS (L1121, L777, L995, L321 AND L776).   CORRECTIVE ACTION: R/R PACK IAW AMM 33-51-07. OPS CHECK OK IAW AMM 33-51-07",EMERGENCY LIGHTS DISCHARGED
"PASSENGERS COMPARTMENT & PASSAGEWAY, EXIT SIGN AND LH SIDE DOOR EMERGENCLY LIGHTS TURN OFF IN 10 SECONDS (L316, L314, L315, L317).   CORRECTIVE ACTION: R/R PACK IAW AMM 33-51-07. OPS CHECK OK IAW AMM 33-51-07",EMERGENCY LIGHTS DISCHARGED
"TEMP CONTROL - NO TEMP CONTROL WITH ANY CONTROLS.  CORRECTIVE ACTION: FOUND WIRE BUNDLE W1200-1204 DAMAGE, REPAIRED WIRE BUNDLE ACCORDING WITH STANDARD WIRE PRACTICE MANUAL. OPS CHECK NORMAL",TEMP CONTROL DAMAGED
EMERGENCY LIGHTS FLOOR PROXIMITY EXIT 1 EACH ILLUMINATION LAMPS BURNT. REMOVED & REPLACED 14 EACH IAW B767 AMM 33-51-01 PG 211. OPS CHECK IAW B767 AMM 33-51-01 PG 212 VERIFIED SATISFACTORY.,EMERGENCY LIGHT BURNED OUT
"1EA BATTERY PACK ONLY REMAINS ""ON"" 3 EACH DURING CAPACITY TEST. REMOVED AND REPLACED 02 EACH BATTERY PAC, PAX CABIN AND PERFORMED OPS CHECK IAW B767 AMM 35-51-07 PAGE 204-208.",EMERGENCY LIGHTS NO TEST
EMERGENCY LIGHTS 20EACH LAMPS BURNT. REMOVED AND REPLACED 20 EACH LAMPS ON PAX CABIN EMERGENCY LIGHTS AND PERFORMED OPS CHECK IAW B767 AMM 33-51-01 PAGE 201-202.,EMERGENCY LIGHTS BURNED OUT
EMERGENCY LIGHT FLOOR PROXIMITY EXIT 14 EACH ILLUMINATED LAMPS BURN OUT. REMOVED AND REPLACED 14 EACH FLOOR PROXIMITY EXIT EMERGENCY LIGHT LAMPS IAW B767 AMM 33-51-01 PG 211. OPS CHECKED IAW AMM 33-51-01 PG 212. VERIFIED SATISFACTORY.,EMERGENCY LIGHTS BURNED OUT
"LEFT WING LEADING EDGE LOWER INNER SKIN SPLICE PLATE CORROSION DAMAGE AROUND STA. WS.642-6682. PERFORMED MAJOR REPAIR ""A ""AT LEFT WING LEADING EDGE LOWER INNER SKIN SPLICE PLATE CORROSION DAMAGE AROUND STA. WS.642-6682. IAW EO #20210440 DATED 5/29/21 DRAWING #ED-6443 AND FAA 8110-3 DATED 6/28/21 REF. N/R 0116. THE REVELANT DETAILS OF THESE IMPORTANT REPAIRS ARE FILED OIN THIS STATION UNDER W/O #7010-0010-2021.",LT WING LE CORRODED
"EMERGENCY FLASHLIGHT AT, L1 JUMP SEAT INOP. REMOVED AND REPLACED  FLASHLIGHT AT L1 JUMP SEAT BATTERY IAW B767 AMM 12-33-02.",FWD FLASHLIGHT INOPERATIVE
FLIGHT DECK EMERGENCY LIGHT INOP.  FLIGHT DECK EMERGENCY LIGHT BATTERY REPLACED.,EMERGENCY LIGHTS INOPERATIVE
DURING WALK AROUND THE MECHANIC FOUND NOSE LANDING GEAR RIGHT HAND SPRING MISSING. PART WAS FOUND AND PROCURED FROM ATLAS. NEW LOCK SPRING (P/N 162T3007-2) WAS INSTALLED PER AMM 32-21-09. OPS CHECK NORMAL AT THIS TIME.,NLG MISSING
"EMERGENCY LIGHTS INOP FOR GROUPS ZONE 3 CABIN, L4 R1 EXIT LIGHTS, LEFT EXTERIOR AFT, LEFT EXTERIOR FORWARD, 1L, 1R EXIT SIGNS, AND OVERVIEW EXIT SIGNS. MX MECHANIC R&R THE POWER SUPPLY BATTERY PACKS (M734, M1210,M738,M736, M1208 AND M1209) PER AMM 33-51-21. OPS CHECK GOOD.",EMERGENCY LIGHTS INOPERATIVE
DURING WALK-AROUND FOUND 1 BLOCKER DOOR DAMAGE LEFT ENGINE TRUST REVERSERS. REV INSPECTION AND ENGINEERING CONFIRMATION OF CONTINUED SERVICE. CONFIGURATION DEVIATION LISTING APPLIED AND NEW PARTS AND HARDWARE ORDERED.,THRUST REVERSER DAMAGED
"AIRCRAFT WAS FLYING FROM KSJT TO KVBG WHEN THE FLIGHT CREW WAS ISEEN CRACK DEVELOPING IN THE R1 FLIGHT DECK WINDOW WHILE IN CRUISE FLIGHT. THECAPTAIN ELECTED TO DIVERT INTO KLAX AS A PRECAUTIONARY, THE LANDING WAS UNEVENTFUL.",COCKPIT LEFT CRACKED
"LAV SMOKE DETECTORS  AFT LEFT, AFT REAR RIGHT, AFT REAR DO NOT TEST. TRANSFERED TO DMI 700-21-0081.",LAVATORY NO TEST
DURING MAINTENANCE IT WAS FOUND THAT THE AFT MID LAV FA STATION EMERGENCY FLASHLIGHT INOP. MAINTENANCE REMOVED AND REPLACED MID FA STATION EMERGENCY FLASHLIGHT ASSY. IAW AMM 25-64-00.,MID CABIN INOPERATIVE
"ON FEBRUARY 27, AIRCRAFT N542LA DURING THE CRUISE PHASE ON THE MIA - CJC ROUTE (UC-1307) MOMENTARILY TURNED OFF THE ADI OF THE CAPTAIN'S POSITION AND FOLLOWED BY A SHORT-CIRCUIT NOISE AND SMELL OF SMOKE IN THE CABIN; THE CREW MADE THE DECISION DIVERT TO PTY?S BASE FOR TECHNICAL ASSISTANCE AND MANAGE THE REPORT OF SAID FAILURE.  THE AIRCRAFT WAS ON THE GROUND FOR THE SUBSEQUENT THREE (3) DAYS IN WHICH THE TECHNICAL STAFF OF THE BASE AND OTHER SPECIALISTS TRANSFERRED FROM THE MAIN MIA BASE CARRIED OUT WIRING VERIFICATION AND ELECTRICAL CHECKS OF ALL THE UNITS OR SCREENS THAT WERE RELATED TO THE EVENT AND IT WAS NOT POSSIBLE TO DUPLICATE THE FAULT. DUE TO THE ABOVE, ON MARCH 1ST, THE DECISION WAS MADE TO RETURN TH",CAPTAIN'S ODOR
